Unique_ID,Category,Review_Header,Review_text,Rating,Own_Rating
130319,refrigerator,Awesome 👌,Good product in this range. Everything is good in this camera. Video quality is really awesome. Focud speed is Really Nice.,5,Positive
152179,smartTv,Product not working,Product not working. Carrier not getting detected at all. Please look into it.,1,Negative
141242,books,Deep and motivating,"Just make a goal and work to achieve it..you'll find everything else during your journey and if you were doing it from your heart, one day you'll surely achieve your goal.",5,Positive
164043,mobile,Very good,"Very nice and fully satisfied, after discount got it for 35000",4,Positive
116979,mobile,Battery is not satisfied respect to prise ..,"Best ever phone I have used.. Gorgeous speed.. Very nice for PUBG.. It has a stunning look.. But, if there was a large battery then it will be a perfect iPhone..",5,Positive
147568,mobile,Not purchase,Not purchase if you are miui user than it is not like you better life is also not good,2,Negative
119959,mobile accessories,Best phone as compared to other.,Compare to the Brice this phone is best phone. And it's battery is speed charging and long lasting.,4,Positive
153886,books,Loved it,Satisfied with this purchase. Must buy,5,Positive
163138,mobile,Good,Very good mobile,4,Positive
166242,smartTv,Worst product!,Worst product!!!! Just becz of rain i got water damage!!! And apple service also waste of time !!! Thy don't provide any warranty!!! So be careful not even take it in to rain '! Becz mokka mob ✌🏼And wifi not working properly bla bla many prob waste of money 🤷🏻‍♂️,1,Negative
162352,books,Worth Buying,Very Good book!,5,Positive
150653,mobile,Things considered before buying...these problems will irritate you on daily besis,"Phone is ok... But there are lot of problems specially in network department.. i use airtel 4g but i bearly get any 4g network,,, it always switch to 3g automatically...internet speed suffers call quantity suffers...i use jio as well and it also faces same problem... Camera hardware is good but lacks clearity.. and i am not even comparing with copitation it is simply bad.... Build is bad.. Vibration callibration is worse.. Auto brightness is worse.. Sound via speakers are bad(low)... I don't think any of these problems could be fixed by ota update.... So think hard befor buying... I can't recommend it.......",3,Neutral
143945,mobile accessories,Nice,Nice,5,Positive
129755,mobile,Good,Good product,5,Positive
117159,mobile,Best phone,Best in the market,5,Positive
161742,mobile,Go for It....,Value for Money...Best mobile in this range..using from last 2 months...dint face any problem..,4,Positive
158213,mobile,Biggest battery back-up phone,"The phone really works great, The best thing about this phone is its battery backup which is enough for 2 days of heavy usage!! Pros: Battery backup Camera ( Problem during Low light) processor (superb) Ram User interface Build quality Cons: Low light camera No earphone Include This i got around 8999 and this is really value for money.",4,Positive
140681,books,good story,Its one of d best stories i have read I have learned 2 things 1. Follow your heart 2. No need to go all over the world when u have your treasure just within you,4,Positive
131442,books,quality of pages not good,"Got pirated copy as there was no hologram and quality of print and pages also bad, so returned it.",1,Negative
169807,mobile,good budget phone but above average performance.,"redmi 6A, budget smartphone, it is featured with decent camera and screen size, sound quality is good but speakers are at back side which sometimes interrupt your enjoyment while listening music without earphones, battery charges fast but drains also fast, may be it is due to its mediatek procerssor. overall for a light mobile user, it is a best option.",4,Positive
156689,mobile,Good,Thanks,4,Positive
143806,mobile,Nice,Nice,5,Positive
159584,mobile accessories,Very good mobile under 15k,"This is a very good mobile under 15K. Both Selfi and rear AI Cameras are giving OSM pics. Sound is not high but it's having a decent sound quality. We can play 3D and high animated games without any lags in this mobile. Good Battery backup, lasting for more than 1.5 days.",5,Positive
113314,smartTv,Five Stars,Ausam product.... Go for it....,5,Positive
153131,mobile accessories,Good phone,Rear camera is average. Battery last full day. Under sunlight display little bit dull. Everything else is five star.selfie cam is pro,4,Positive
153098,mobile,The Mid range smartphone killer,Realme U1 is really an awesome product.This is a mid range phone in terms of performance.Lets have a look at its pros and cons Pros:- 1.Vivid display and water droplet notch. 2.Best screen to body ratio 3.MediaTek Helio P70 SoC performs lag free performance 4.The front 25-megapixel camera captures detailed selfies and rear camera is decent too. 5.Fludic face detection 6.Good audio quality 7.Value for money Cons:- 1.Color OS not so intutive and takes time getting used to even for experienced smartphone users 2.Battery performance 3500 mha though decent but 5000 mha has become segment norm. 3.Average low light camera performance 4.No 4k video recording and video stabilisation 5.Body and screen is fingerprint and smudge magnet Realme U1 is a really value for money product and I credit Amazon for providing me a nice deal on my purchase.I got 3270 for my nearly 18 months old Moto G5 plus and Amazon gave me additional discount of nearly 1600 inr on Amazons special sales day.I got 5156 INR as final cart value.Nearl 10 days have passed and I am satisfied with the overall performance of the phone considering the budget.,5,Positive
147123,smartTv,This is amazing product,Normal use mai battery 3.5 hours nikal deti hai araam se or screen 120hz hone se clear vision milta hai Pubg or gta 5 run without any lag,5,Positive
122586,smartTv,End 👌🏻👌🏻👌🏻👌🏻👌🏻😎,Excellent phone,5,Positive
145383,mobile accessories,Nice phone,Nice phone,5,Positive
118439,smartTv,Simply the Best Media Streamer,"Bought this at a great price during the prime day sale. Had the previous gen full hd fire stick which served me well on my previous smart TV. Bought this to check out the improvements and also to compare it with the native apps on WebOS on my TV. This literally blows away the native apps. Dolby vision, hdr10 works flawlessly. I had my doubts about the wifi since I'm pretty old school and always hardwire stuff. But the AC wifi on this works even better than the wired ethernet connection on my TV. The apps run great and super fast. Lastly and this is my opinion a huge huge win.. Plex. This stick actually plays 4K in plex without transcoding with absolutely no issues. That just sealed the deal for me. Granted you need a pretty beefy pc to do this and mine is, but even then the WebOS plex app used to glitch out every now and then. Tip : Keep the hdr on the stick to adaptive and tweak the dolby vision and hdr settings on your TV separately. Once you nail them right, there's no going back to native apps. Super Duper Impressed!!",5,Positive
145281,mobile,Nice performance,Nice performance but battery life is very poor,3,Neutral
126976,mobile,Good,Good,3,Neutral
154380,mobile accessories,Awesome Camera Budget Phone,"Slow fingerprint reader, Front and Back Both Cameras Awesomes and Superb full day battery life after heavy use.",5,Positive
151570,mobile accessories,Nice and elegant,Pretty decent phone for this price. It is reliable and lite weight with good quality. Everyone can buy this without any hesitation. You feel good. Stylish Look - 5/5 Camera Quality - 5/5 Battery Life - 4/5 Fingerprint Reader - 5/5,5,Positive
122786,smartTv,Quality,Excellent product,5,Positive
126628,mobile,Must buy,Good,5,Positive
149004,mobile accessories,Nice one,Only battery,5,Positive
115270,mobile,Very bad earphone. Money waste 😞. Dirty sound.,Bass is not good. Noise are more and more. After 20 minutes start pain in ear.,1,Negative
147369,mobile,Required Cashback for this product,"Not even completed 1 yr of this product and price reduced drastically. How you can decrease the price to such extend. I need compensation for that, amazon shall take necessary actions on it.",1,Negative
134841,smartTv,Well worth it,"I got it for full price, but if you are ok to wait, look out for sale time. Definitely worth the price.",5,Positive
126458,mobile,Good,Good,3,Neutral
131805,books,It's a real discount.,Great book nice delivery good quality and in market u will get it at the price of 169/-,3,Neutral
130105,refrigerator,Value for good,Good product at best price,4,Positive
164612,mobile,New gen powerbank,Very stylish looking product with a sleek design.The battery backup is very good and a 18w fast charging is superb.Got it for 799 and satisfied,5,Positive
160325,mobile,Easy,This phone is complete package of low cost,4,Positive
124142,mobile accessories,First class product & a very good and fast delivery.,"First of all I would like to say about the delivery which was too fast, I ordered it on 24/10/19 and got it on 25/10/19. Everything is good,camera quality and battery both are very nice good, but I haven't use the fingerprint sensor till now, so I can't tell anything about that. Anyway, I thanks to Amazon both for the fast delivery and for selling the original and a great product at an unexpecting low price (rupees 7999).",5,Positive
129580,smartTv,Mobile review,Good product,4,Positive
148141,mobile accessories,Ok,Ok,2,Negative
129311,mobile accessories,Good one value for money,Good phone used from last 3 month no phones,5,Positive
135114,mobile,Extremely goo mobile with power packed specs.,"I have been searching through various websites and reviews to buy a mobile in these festive sale I found this in my budget.my priorities are camera and battery.This phone makes me happy in respect of both camera and battery. As an additional advantage performance is too good at this price. I cannot write in depth review about camera as I am novice user,but this phone produces good pictures and video is having image stabilisation",5,Positive
134994,refrigerator,Perfect alternative strap for my band,I had blue color strap but i like black color so went with this product and seriously this is amazing and perfect fit for my holyhigh band. Color looks so awesome with band. Must try if you don't have black strap.,5,Positive
121510,smartTv,Connection problem,"Every time it shows connected, led light blinks. But can't play music, after disconnecting and reconnecting, 5-6 times, originally it get connected... But product quality is quite good considering the price segment. U can't expect sound quality like JBL or.... But sound is clear, loud ,fine up to 80% volume. Build quality is great....",3,Neutral
117919,mobile,Superb phone,Best smartphone under this price,5,Positive
166745,mobile accessories,Mind blowing,Wow...,5,Positive
140975,mobile,Buy it.you vl njoy,It’s worthy...M not at all disappointed,4,Positive
155971,mobile accessories,Superb,Superb,4,Positive
115377,smartTv,Battery sucks,Battery back initially was good but now it’s bad after few months,5,Positive
124475,mobile,Frequently gets hang.. Speaker is too bad..,Frequently gets hang.. Speaker is too bad..,2,Negative
120301,smartTv,Default in mobile already use by other customer,Default in mobile already use by other customer,1,Negative
150578,mobile,Good.,Phone is great. Need better battery life.,3,Neutral
169158,mobile,super phone,nice,5,Positive
134346,mobile,Battery and performance!,"I bought this phone because of it's battery life , but display and performance of the phone is also very good with 4gb ram. Little disappointed with built quality. Cheap plastic used fit and finishs are fine. Upper body vibrates while using primary speaker at full volume because of plastic body. Display may broke if mobile falls from hand in normal conditions because of battery size and its weight. I would suggest to buy hard case for better safety instead of flexible silicone cases. At this price its good deal.",3,Neutral
144230,mobile accessories,Very nice product,Nice,5,Positive
120883,mobile,Hanging,Don't buy,1,Negative
148401,mobile,Nice,Ok,5,Positive
151155,mobile,Very good mobile,Picture quality is very very nice,5,Positive
119647,mobile,Good,"Canara is good not excellent, battery life and finger print reader very good",5,Positive
146143,smartTv,Nice product,Nice product by sanyo my recommendation for new purchase,4,Positive
158241,mobile,Bad customer care for purchasing iPhone on Amazon,The phone was not getting power on.. I have returned the product the next day of delivery... But they are not responding back still today Don't purchase iPhone on Amazon please...,1,Negative
134677,mobile accessories,DAMN SLOW,"I dont know whether is it product defect or not , hearing positive review i purchased this phone on 20Feb . From Day1 (First Boot) itself the phone hangs , Camera takes it own time to open and forget PUBG on it . Has Anyone Issued Same Problem>",1,Negative
149226,mobile accessories,Osmmm Product just loved it,"Osm product,, i just loved it noice cancelation is good but the sound quality is too good and the bass is osmm 🤩 Bluetooth connectivity is very fast,, Battery backup is also good and the product is beyond my expectations 🤗 I just loved itt",5,Positive
149246,mobile accessories,Cool,Ossssm,5,Positive
170125,mobile,worst phone by mi. Buy mi A1 instead it was superb,the worst phone.. if anbody planning to buy this plz contact me i will give you in 5-6k. qki is phone ki asli aukaat yhi hai. mi a1 is phone ka baap tha. i also bought mi a1 that was awesome super phone from mi,1,Negative
170545,mobile accessories,if you don't have an iphone you don't have an iphone,well nothing more to say. it's iphone bois...,5,Positive
114696,mobile,Very low price product,Awesome products and good rate in money. Offer in sell nice,4,Positive
147982,refrigerator,"Now 2 years for product, band working properly","Now 2 years for product, band working properly",5,Positive
169498,mobile,Average phone,okay but not value for money. Touch is so sensitive that it automatically dials or open apps.,3,Neutral
112710,mobile,Supplied defective part.,"Amazon service is very poor. being a prime customer they took 4 days to deliver the product. After receiving the product i checked it immediately. Being a defective product this cell phone didn't turn on. I exchanged this with my old Moto one power, right now i don't have any cell phone with me. After taking exchange of my old phone and full payment they are not responding properly. they are taking loots of time to solve the issue. I will look for one day and file the complaint in consumer court.",1,Negative
163022,books,Five Stars,Very good book with excellent Packing.perfect delivery. Go for it guys.,5,Positive
160067,mobile accessories,Very good phone in this budget.,This is very good phone instead of going for chinese lcd display and poor cameras despite mentioning several mega pixels photos are poor.Go for samsung brand I feel very happy with this phone.,5,Positive
112590,mobile accessories,Better UI than realme and Xiaomi phones in this price range,"Amazing super Amoled display and jumbo battery backup are the key attraction of M30s. Various features like recycle bin , anazing camera quality, etc are also but also lacks the three finger screenshot feature and screen recording which are very handy. All in all , best phone at this price . ( I've bought for 11600 after every possible offer :) )",5,Positive
150094,mobile accessories,Go for it,Perfect built and smooth functioning. Camera quality and battery life is awesome,5,Positive
166110,mobile,Worst Ever.,"Worst mobile, dnt support many apps, n functioning is irritating, fed up of this mobile, money waste. Worst among all Mi product. Using MI mobile form past many years. Morning than 10 mobile purchased. But this disappointed😟",1,Negative
121259,smartTv,Worth a buy but thumbs down for earphones quality,Earphones are not that good. doesn’t define apple,4,Positive
122414,smartTv,Good phone with super camara,"Excellent camera, and nothing else is new, and obviously the processor and speed is good.",4,Positive
156795,smartTv,Five Stars,Thats really a great phone .. i would love to buy it,5,Positive
114101,mobile,Super,Awesome image quality very supred,5,Positive
133699,refrigerator,Nice camera,I am happy to but this product.,5,Positive
135369,mobile,5 star phone,"I have owned several brands since 1999 from pencil box shaped nokia and samsung phones to the fancy iphone X, but the M30 is by far the best purchase. The quality of features you get for the money is unbelievable. Highly recommend this phone. Pros Display quality and big screen Battery life Camera Cons Just a little lag but nothing significant Just go for it",5,Positive
152172,mobile,Not good Mi phone not good camera is very bad,Product not good price is very hike,1,Negative
115873,mobile accessories,Less Battery,Battery life is less than a day. Phone is other wise good.,4,Positive
132099,mobile accessories,Lovely,Great phone at this price range....,5,Positive
169176,mobile,good,nice,5,Positive
157849,smartTv,"A relative, affordable, alternative.","The on board OS could have been better. Better tuned hardware could have avoided the long boot up time. Other than that, a good buy. Tripping on 60fps 4k's like no tomorrow. P.s. Should have had the option to install more streaming apps. Certain apps have been blocked from the play store. Eg. Prime.",5,Positive
158086,mobile accessories,Good phone for the price,The phone is great for the price. More so because of the additional discounts received during the sale.,5,Positive
138409,smartTv,Ok Product,"It is a OK product though works slow after 2 month, all features of remote don't work.",3,Neutral
114651,smartTv,Awesome product. But needs to be plugged in to charge all time,Awesome product. But needs to be plugged in to charge all time. I thought it will be usable without the plug in as well. Otherwise good product,5,Positive
139885,mobile accessories,Budget friendly,It's my second purchase for my family members. It's best budget phone good camera good look and good battery life.,5,Positive
169956,mobile,super,super,5,Positive
162531,mobile,Bad experience,Very bad phone color os was very very bad only for selfie lovers other person's please don't buy,1,Negative
132859,mobile,Get benefit great Indian sale,Happy to buy after 6s plus,5,Positive
142830,mobile accessories,Mic quality is poor you have better option in boat,Mic quality is very bad you have to hold mic near your lips otherwise you will not audible to opposite person Insted of this Boat headphones are better which cost 400 only,3,Neutral
133406,mobile accessories,Nice phn,Honor 8x all feature is the best services My faverite phn Mast look,5,Positive
160792,mobile,Top notch quality,Though a little expensive but the quality of the cable is top notch. Useful to keep with you .,5,Positive
136984,books,"great guide,but not easy to implement","I used to watch Sadhguru videos on youtube. The similar kind of portion is covered in the book, but in brief way. It is like manual which can help you to understand yourself better and better. It is a masterpiece one can say, but this book has confused me a lot. The book has lots of things one can implement, but it is not easy to change someone's perspective to see the life. Its useless if you just read some book for your knowledge and do nothing about it.",3,Neutral
143244,books,Nice book,Must read,5,Positive
154806,mobile,No satisfaction with this JBL earphone,Sound clarity and noise cancellation is nice but base is not there,2,Negative
139913,mobile accessories,Nice product,It's nice. But needs more battery back up.,4,Positive
134501,mobile,Budget phone with good features,I can say . . Value for money I got this @ Rs.7600/- 1.Screen resolution is not good. 2.Sound quality is not good . 3.A bit heavy . 4.Day light photographs are good but low light or night photographs are very poor. 5. Battery is outstanding 6. Wide angle is good 7.Ringtones are low,3,Neutral
132331,refrigerator,Great deal .... value for money,Great product for home.... it’s running perfect on Inverter,5,Positive
137184,mobile,Good product from Mi,"I wasn't really into ""Mi"" brand but after using this product I have changed my mind and this one's really good. I charge my Nokia 7 Plus (3800 mAh) and still I can see 50-75% battery left and build of product is incredible, it feels so solid in hand and easy to carry. As well I charged my iPad pro 2017 fully using it. The fast charge output is so good it charges nearly same as the dash/ fast/turbo chargers that come with the phone. Overall thumbs up",5,Positive
133087,smartTv,Bakwaaaas,Hell product,1,Negative
147183,smartTv,Iphone7,"Not a good product, I am facing many time some problem, at present screen looks dull & color changes! I have doubt how online purchased IPhone not looks smart?",2,Negative
158810,smartTv,Very poor quality,"The sound quality is very poor. Not only that, Always gets a hissing and cracking sound when any music plays. I am using it for 2 years now. The wires got worn out in 6 months. As I don't need this frequently just fixed the worn out wire to charge and aux input. So overall the quality of the speaker is very poor.",2,Negative
140922,mobile accessories,Rockz,It’s just super phone...’’’’,5,Positive
159977,mobile,Best powerbank.,This is the best powerbank which I have every used. Little bulky so you need to keep it in your hand or your bag but can charge one phone for 3-4 times. And charges very fast. Highly recommend it.,5,Positive
149240,mobile accessories,Everything is wow,Osome wowwwww,5,Positive
146491,smartTv,Good sound + Easy to carry,"Nice sound quality for its size, easy to use and easy to carry anywhere in your pocket.",5,Positive
160305,mobile accessories,This phone is automatically off.,"This phone is automatically off. And not on a long time. I had complained against this issue but amazon not responded properly and just time pass with me. Now my returning date is over and no one pick my phone from amazon. This faulty phone is wastage for mine. I am surprised that like amazon, amazon not resolved my issue.",1,Negative
170373,books,Four Stars,very good book,4,Positive
170766,mobile accessories,👍,👍,2,Negative
131608,mobile,Great,Great,5,Positive
145618,mobile,Nice performers phone,Nice phone is price segment RS 7500,5,Positive
135199,mobile,Nice Product,I have been using this power bank for over a year and am satisfied with its performance.,5,Positive
164118,mobile accessories,Coments,Very nice i like it. The screen is big and so comfortable,5,Positive
168619,smartTv,Five Stars,i love this,5,Positive
142320,books,Lovely read,Lovely read,5,Positive
143956,mobile,Nice,Nice,5,Positive
149171,mobile,Phone heats up,Original review has been removed by Amazon The same review is the process of being escalated to Jeff Bezos and Tim Cook,1,Negative
151375,smartTv,Poor Packaging by Amazon But great product,"Poor Packaging by Amazon But great product , awesome sound and Bass in 1room Great build quality (aluminum body) Chota packet bada dhamaka😁😁 Best in under 600 rupee",5,Positive
162875,mobile,Very good,Very good,5,Positive
161658,mobile accessories,Vibes good,V good,5,Positive
142444,mobile accessories,I am updated with Samsung ...,"M20 is better for This Price....But charging problem is big issue.. 1st week full charging time is 2 hr 30 min 2nd week full charging time is around 4 to 5 hr... I am shocked I am very happy because finally i am not buying china mobile....Like mi, realme, oppo, vivo. Better than this brand.... Good Buy....",4,Positive
168884,smartTv,fantastic,its a very good low budget phone having 32mp selfie camera and all other moderTs fratures.. Expect 4000 mah battery it's 3000 mah ... 17-18 hrs in one charge,4,Positive
122171,mobile accessories,Excellent,Excellent,5,Positive
159395,mobile,Not a good handset.,"This device has a lot of issues. The network reception is pretty weak. Touch is also poor and every now and then you keep coming across issues, the proximity sensor for example. It just doesn't work properly.",2,Negative
151986,smartTv,Good,Product is good. But delivery is gurenteed to be on Monday but delayed to Tuesday.,5,Positive
147605,smartTv,"Apple iPhone black, review. Negative feedback.","Not satisfied with the product. Communication is not proper. Very difficult to hear voices to callers, very low voice heard. Need to resolve this issue.",2,Negative
129031,mobile,Good phone in reasonable price,Good phone,5,Positive
135629,mobile accessories,Superb mobile,I like,4,Positive
146590,smartTv,😎😎😎nice phone,Nice 😎 phone 📱better sounds quality and good photos battery🔋 life ok,4,Positive
166062,mobile accessories,Didn't boot even for 1st time,Worst experience and bad product. Even for 1st boot its not loading and in boot loop for hours. With 3-4 attempts of force restart its still stuck. Samsung have it in DNA to be bad production quality and over the top it was sent in a normal Amazon polybag packaging in place of bubble protective package and wonderfully kept under pile of 50-60 items in the rug bag of the delivery person.,1,Negative
127764,mobile,Nice,Good battery life. Weight is very light. Camera could have been better.,5,Positive
152247,smartTv,Great Sound Quality Worth Product,"Product was delivered in time. Excellent case provided by JBL in terms of packaging itself. Although expensive, the product quality and sound is too good. The sound doesn’t faulter at high volume. Bluetooth connectivity is very good too. The depth of the sound and bass is awesome compared to other similar products of various brands. Surround sound effect is also great!! Haven’t tasted the water resistant ability. Battery life is sincerely good. Mic for the phone isn’t good. This review is for this product which is almost a couple months old with me.",4,Positive
142539,mobile accessories,Needs software update,Main Problem is when we make a call there is a icon in which there is a options for hold and mute button very close to ear piece so many times Hold option started automatically while talking with someone.... So please update your software and give these options at the bottom or near by dialing box.... But phone is very good and it's all features are running very fast... Thanks,1,Negative
110970,mobile accessories,Amazing Buy,"A very well balanced phone, it is very practical and with ColorOS 6 it has got much better than ever.",5,Positive
166979,smartTv,Great speakers under 2k,"You can't ask for more under 2k. Amazing speakers from JBL. Got mine in teal blue, looks damn good and sounds damn good. Charge stays for pretty long as well.",5,Positive
135895,mobile,Average,"I like the way the phone is charging, very fast. I dislike that the phone is sometimes operate very slow and 1 week ago my all data has been automatically deleted by automatically booting, due to which I lost my all the photos and important data.",3,Neutral
153840,mobile,Satisfied,Satisfied,5,Positive
125873,mobile,Very good,Good,5,Positive
136534,smartTv,Youtube is not working,"I purchased it before 6 month but i am facing problem of Youtube it is not being open showing out of date when i am trying to update it playstore showing your device is incompatible and also i cannot install youtube manually, showing not installed.",1,Negative
142034,mobile accessories,Best in price range,Looks and features are good,5,Positive
118123,mobile,Battery hiet,Bettery failed,2,Negative
148753,books,Must read,One of the best books,5,Positive
114248,mobile,Five Stars,Awesome phone,5,Positive
165863,mobile accessories,Satisfied completely at this price + brand + market value,"Working very smoothly,as i used mostly all mobiles ,but this phone finger sensor is very sensitive. Battery is outstanding even i addicted with high memory games,but this device help me to win these games by use very comfortably. There is no doubt for screen quality in samsung phone, its above my expectation. I am not camera lover,so i am not able to compare camera,but uptill now whenever i took selfie of pic, its quality is better in zoom also. Only thing i want to share about it is that, please take care of screen of your phone if purchase, unfortunately my M30 slips from my hand and display broken,but still it is working as smooth as before.",5,Positive
142386,smartTv,I love MI,Low price and very nice phone,5,Positive
153861,mobile,Mi always in my favorite least,Satisfied with MI product which I expected.100% charging on 2 hour.no heating and hang problem.value for money.,5,Positive
139438,mobile,Worst product,It's a very worst product .. it's automatically switch off and switch on and I complained about the problems to Amazon service centre but I didn't get service by the Amazon ..they refused to return the product,1,Negative
114650,refrigerator,Go for it!!!,Awesome product. But it is bit small compared to hrx band2 which i was using.,5,Positive
139361,mobile accessories,GOOD PRODUCT,"It's a nice product but camera quality could be much better ....battery backup is gud ...storage is also good ...screen resolution is also away better than other fones.Also having many advanced features like one hand mode,also split screen...but sometime it doesn't sense ur finger touch that's a difficulty but sometimes only",5,Positive
112399,mobile,Amazing iphone,Amazing phone. This is my first iPhone. Face ID is great. iOS is superb. Overall my decision to buy XR instead of X/XS proved to be good.,5,Positive
153960,mobile accessories,Good product,Screen mirroring NA,4,Positive
131402,smartTv,Awesome product,Got it in INR 599. Only bad thing is Amazon's packing for this product. Sound quality is just awesome. Perfect match of treble n bass. Colour is also soothing. Recommendable to everyone.,4,Positive
147845,mobile,Great phone,Nothing,5,Positive
168956,mobile,good product,its very nice phone,5,Positive
142221,mobile accessories,"Loved everything overall except that,the battery life sucks.","Loved everything overall except that, the battery life sucks. PS: go for a newer version if you can afford",4,Positive
118459,mobile,Don't buy if you're looking for battery backup,Bought this in flash sale when mobile was released. Been using for more than 8 months! Battery is pathetic since it doesn't last even 10 hours after full charge with 4G being intermittently on!,4,Positive
131650,mobile,Great.,Great,5,Positive
142629,books,Four Stars,Masterpiece to master your surroundings.,4,Positive
141217,smartTv,Heavenly,Just heavenly sound quality. Great delivery service by amazon.,5,Positive
125310,mobile,Good product,Good,4,Positive
129203,mobile accessories,Review for the performance & quality of the M20,Good phone camera quality are decent performance was nice but the fingerprint or some tym not work properly but overall phone is great and performance was nice & good battery life I like the phone in this price segment..its best worth their quality & performance,4,Positive
140304,smartTv,Do not buy!,Its a gaming laptop snd still hangs while working on photoshop! How will it support my other 3d softwares! Even while watching videos it gets hanged!,1,Negative
142953,mobile,Totally good mobile,Mobile is good,5,Positive
118558,refrigerator,Damaged product delivered,Brought broken piece. LED panel os Physically damaged,1,Negative
115026,mobile,Worth to buy phone,Back camer is good in full light.Pubg is very smooth battery life is also very good in 9000 you can go with this phone it has every feture,5,Positive
125047,mobile accessories,Goog,Good,4,Positive
165948,mobile accessories,NO 1 PHONE,Worlds Non1 phone,5,Positive
123577,mobile accessories,Best,Fast charging cable is the best,5,Positive
134618,mobile,Best Choice,"I don't have to describe because Everyone knows that iPhones are iPhones they are fabulous. The only thing I have to say that it's High stainless steel getting scratches very easily, So tale care of ur expensive iPhone.",5,Positive
142836,mobile,"Buy a better one guys, seriously.",Microphone not working in the first month itself.,2,Negative
156465,mobile,Supur,Supur,4,Positive
152417,mobile,Nice one,Pros: 1.Lovely display 2.Monster Battery 3.Handy design 4.Decent software 5.Always on display option Cons: 1.Slow camera while on focus 2.Below average picture clarity(Not an expected one) 3.Average built quality 4. No gorilla glass protection as informed (Better to buy tempered glass and back panel) Conclusion: Better performance for this price range. We can buy if we find some good deals :),4,Positive
142210,mobile accessories,😜,Love this product,5,Positive
112161,mobile accessories,JUST BUY DON'T HESITATE,Amazing at this price point,5,Positive
134645,mobile accessories,Very bad phone MI A3,"I don't like this phone ,",1,Negative
156282,smartTv,Cool,Superb product,5,Positive
149088,smartTv,Getting hanged,"Only within a month of purchase, tv is geting hanged frequently. Got shut down with a cracking voice twice. Now my running around the customer care will start. Hope the oderal stops in only one visti of technician. Else it will be night mare for the warranty period and will have to again spen for another tv. Very disappointed.",2,Negative
112279,mobile accessories,Good looking phone,Amazing looking phone but front camera is not that good...battery life is good,5,Positive
